Title,Media,Date,Link
"Harga Daging Tembus Rp130 ribu per kilogram, Harga Cabai Naik Rp70 ribu - disway.id",Disway,5 menit yang lalu,https://disway.id/read/918825/harga-daging-tembus-rp130-ribu-per-kilogram-harga-cabai-naik-rp70-ribu&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQIAxAC&usg=AOvVaw0y5K5_B0kWtf1eQKKJLjbv
"Data Harga Pangan: Cabai Merah hingga Telur Ayam Ras Turun, Daging Sapi Naik (22 Desember 2025)",Data Indonesia,5 menit yang lalu,https://dataindonesia.id/komoditas/detail/data-harga-pangan-cabai-merah-hingga-telur-ayam-ras-turun-daging-sapi-naik-22-desember-2025&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQICBAC&usg=AOvVaw0b-eYlXT1LkexowtZlekxw
Harga Sembako Jogja Hari Ini 22 Desember 2025: 3 Jenis Cabai Naik-Turun,detikcom,7 menit yang lalu,https://www.detik.com/jogja/bisnis/d-8271749/harga-sembako-jogja-hari-ini-22-desember-2025-3-jenis-cabai-naik-turun&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQIChAC&usg=AOvVaw3gR97KKs3znjGwn1jCbs16
BPS: Harga Cabai Rawit dan Minyak Goreng Melambung Jelang Nataru,Bisnis.com,2 jam yang lalu,https://ekonomi.bisnis.com/read/20251222/12/1938721/bps-harga-cabai-rawit-dan-minyak-goreng-melambung-jelang-nataru&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQIBBAC&usg=AOvVaw26Ch3qTPRIqyj-TX_gV2a3
"Cek Daftar Harga Cabai di Sejumlah Wilayah, Senin 22 Desember 2025: Turun atau Naik?",netralnews.com,2 jam yang lalu,https://www.netralnews.com/cek-daftar-harga-cabai-di-sejumlah-wilayah-senin-22-desember-2025-turun-atau-naik/Nm5VaU9YeU5WdW5vcmxWVWd2RHpEQT09&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQIBhAC&usg=AOvVaw26cc7P6ACkmIOEd13I3IlS
Pasokan Bertambah Sebabkan Harga Cabai Rawit Turun,RRI.co.id,2 jam yang lalu,https://rri.co.id/daerah/2056844/pasokan-bertambah-sebabkan-harga-cabai-rawit-turun&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQIARAC&usg=AOvVaw00aUAyyrz-2Ll3hl45hfSI
"Jelang Nataru, Harga Cabai di Sintang Mahal",RRI.co.id,3 jam yang lalu,https://rri.co.id/kalimantan-barat/daerah/2057232/jelang-nataru-harga-cabai-di-sintang-mahal&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQIBRAC&usg=AOvVaw28XLmA7t_pPR-gMHUvhS95
"Harga Sembako Jatim Hari Ini: Gas Elpiji Naik, Cabai dan Daging Turun",detikcom,3 jam yang lalu,https://www.detik.com/jatim/bisnis/d-8271389/harga-sembako-jatim-hari-ini-gas-elpiji-naik-cabai-dan-daging-turun&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQIBxAC&usg=AOvVaw1scuRow0xhzNbXbtqRj2qk
"Dapur Mulai 'Ngebul', Harga Cabai Rawit di Pasar Srono Banyuwangi Tembus Rp 70 Ribu per Kilogram - Radar Banyuwangi",Radar Banyuwangi,9 jam yang lalu,https://radarbanyuwangi.jawapos.com/ekonomi/756982688/dapur-mulai-ngebul-harga-cabai-rawit-di-pasar-srono-banyuwangi-tembus-rp-70-ribu-per-kilogram&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQIAhAC&usg=AOvVaw0mhElqzCJGCpLRqAuj_hbi
"Harga Cabai di Bengkulu, Turun Rp60 Ribu per Kg",Media Indonesia,6 jam yang lalu,https://mediaindonesia.com/nusantara/842748/harga-cabai-di-bengkulu-turun-rp60-ribu-per-kg&ved=2ahUKEwi0j4-uxtCRAxWXRWwGHTDfOTcQxfQBegQICRAC&usg=AOvVaw3tERZmm6MY77Am93NPLOhm
