No,Komoditas (Rp),22/ 12/ 2025
I,Semua Provinsi,"52,650"
II,Aceh,"52,150"
III,Sumatera Utara,"52,350"
IV,Sumatera Barat,"42,650"
V,Riau,"47,050"
VI,Kepulauan Riau,"48,450"
VII,Jambi,"40,500"
VIII,Bengkulu,"46,000"
IX,Sumatera Selatan,"45,750"
X,Kepulauan Bangka Belitung,"53,650"
XI,Lampung,"36,900"
XII,Banten,"41,650"
XIII,Jawa Barat,"42,900"
XIV,DKI Jakarta,"48,150"
XV,Jawa Tengah,"43,900"
XVI,DI Yogyakarta,"46,750"
XVII,Jawa Timur,"43,400"
XVIII,Bali,"48,650"
XIX,Nusa Tenggara Barat,"52,000"
XX,Nusa Tenggara Timur,"47,900"
XXI,Kalimantan Selatan,"54,600"
XXII,Kalimantan Tengah,"58,750"
XXIII,Kalimantan Timur,"58,350"
XXIV,Kalimantan Utara,"57,250"
XXV,Gorontalo,"66,100"
XXVI,Sulawesi Selatan,"50,400"
XXVII,Sulawesi Tenggara,"58,750"
XXVIII,Sulawesi Tengah,"58,750"
XXIX,Sulawesi Utara,"62,900"
XXX,Sulawesi Barat,"50,850"
XXXI,Maluku,"61,900"
XXXII,Maluku Utara,"68,750"
XXXIII,Papua,"76,400"
XXXIV,Papua Barat,"72,500"
