No,Komoditas (Rp),22/ 12/ 2025
I,Semua Provinsi,"15,900"
II,Aceh,"14,600"
III,Sumatera Utara,"15,100"
IV,Sumatera Barat,"18,400"
V,Riau,"16,700"
VI,Kepulauan Riau,"15,650"
VII,Jambi,"16,400"
VIII,Bengkulu,"15,350"
IX,Sumatera Selatan,"15,650"
X,Kepulauan Bangka Belitung,"15,750"
XI,Lampung,"15,000"
XII,Banten,"14,850"
XIII,Jawa Barat,"15,100"
XIV,DKI Jakarta,"16,600"
XV,Jawa Tengah,"15,550"
XVI,DI Yogyakarta,"14,900"
XVII,Jawa Timur,"14,450"
XVIII,Bali,"15,150"
XIX,Nusa Tenggara Barat,"13,650"
XX,Nusa Tenggara Timur,"14,750"
XXI,Kalimantan Selatan,"16,200"
XXII,Kalimantan Tengah,"18,650"
XXIII,Kalimantan Timur,"17,050"
XXIV,Kalimantan Utara,"17,000"
XXV,Gorontalo,"15,200"
XXVI,Sulawesi Selatan,"14,600"
XXVII,Sulawesi Tenggara,"15,800"
XXVIII,Sulawesi Tengah,"15,150"
XXIX,Sulawesi Utara,"14,950"
XXX,Sulawesi Barat,"14,150"
XXXI,Maluku,"17,150"
XXXII,Maluku Utara,"17,750"
XXXIII,Papua,"19,150"
XXXIV,Papua Barat,"17,700"
