No,Komoditas (Rp),22/ 12/ 2025
I,Semua Provinsi,"55,550"
II,Aceh,"33,750"
III,Sumatera Utara,"51,500"
IV,Sumatera Barat,"61,900"
V,Riau,"83,600"
VI,Kepulauan Riau,"75,750"
VII,Jambi,"46,400"
VIII,Bengkulu,"61,000"
IX,Sumatera Selatan,"66,250"
X,Kepulauan Bangka Belitung,"72,900"
XI,Lampung,"48,750"
XII,Banten,"42,650"
XIII,Jawa Barat,"54,200"
XIV,DKI Jakarta,"51,750"
XV,Jawa Tengah,"42,650"
XVI,DI Yogyakarta,"50,000"
XVII,Jawa Timur,"42,650"
XVIII,Bali,"48,250"
XIX,Nusa Tenggara Barat,"44,150"
XX,Nusa Tenggara Timur,"51,250"
XXI,Kalimantan Selatan,"49,150"
XXII,Kalimantan Tengah,"83,150"
XXIII,Kalimantan Timur,"54,150"
XXIV,Kalimantan Utara,"65,000"
XXV,Gorontalo,"42,500"
XXVI,Sulawesi Selatan,"35,750"
XXVII,Sulawesi Tenggara,"47,500"
XXVIII,Sulawesi Tengah,"35,650"
XXIX,Sulawesi Utara,"30,000"
XXX,Sulawesi Barat,"39,000"
XXXI,Maluku,"84,400"
XXXII,Maluku Utara,"70,000"
XXXIII,Papua,"85,750"
XXXIV,Papua Barat,"81,250"
